id,name,gender,age,template,grades,subject,G10.semester1,G10.semester2,G10.yearAvg,G10.total,G11.semester1,G11.semester2,G11.yearAvg,G11.total,G12.semester1,G12.semester2,G12.yearAvg,G12.total
1,Oralla Killigrew,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,65,38,52,103,73,9,41,82,80,78,79,158
2,Jenn McCullogh,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,25,8,17,33,38,96,67,134,54,81,68,135
3,Cristie Nazer,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,42,23,33,65,56,100,78,156,49,65,57,114
4,Brandy Clemenza,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,8,87,48,95,20,88,54,108,70,50,60,120
5,Rivalee Zollner,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,11,76,44,87,47,83,65,130,18,72,45,90
6,Richy Goldston,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,15,82,49,97,27,70,49,97,24,86,55,110
7,Wake Umney,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,72,97,85,169,87,37,62,124,21,64,43,85
8,Karmen Flight,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,30,25,28,55,17,12,15,29,82,70,76,152
9,Dot Connaughton,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,36,68,52,104,57,54,56,111,76,93,85,169
10,Shel Delucia,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,51,65,58,116,30,22,26,52,96,62,79,158
11,Carlee Ghilardini,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,70,32,51,102,16,40,28,56,7,20,14,27
12,Filia Paulat,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,26,69,48,95,58,20,39,78,23,71,47,94
13,Brook Thirlwall,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,36,57,114,8,41,25,49,46,59,53,105
14,Tildy Sandyford,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,28,53,106,94,25,60,119,10,22,16,32
15,Sherman Crosier,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,12,61,37,73,89,9,49,98,47,26,37,73
16,Florette Sabathier,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,40,66,53,106,96,64,80,160,4,28,16,32
17,Pattie Dace,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,88,47,68,135,46,42,44,88,42,30,36,72
18,Willis Soulsby,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,1,79,40,80,98,80,89,178,87,96,92,183
19,Inessa Daviot,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,17,82,50,99,79,22,51,101,43,89,66,132
20,Deedee Bisgrove,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,68,76,72,144,25,19,22,44,18,80,49,98
21,Caressa Abad,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,27,7,17,34,96,60,78,156,51,95,73,146
22,Berkly Alsina,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,95,70,83,165,83,20,52,103,85,95,90,180
23,Curtis Smith,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,84,53,106,79,43,61,122,59,44,52,103
24,Allix Ricciardello,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,69,24,47,93,60,70,65,130,24,51,38,75
25,Sid Lukash,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,91,33,62,124,52,97,75,149,63,80,72,143
26,Joyan Billings,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,51,19,35,70,7,7,7,14,98,89,94,187
27,Elisa Jarrel,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,39,12,26,51,61,25,43,86,0,19,10,19
28,Salomo Prestage,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,51,97,74,148,69,21,45,90,69,32,51,101
29,Mariann Antrobus,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,31,24,28,55,74,42,58,116,45,98,72,143
30,Josy Passy,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,44,54,49,98,100,91,96,191,49,12,31,61
31,Kelsey Stranahan,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,79,51,101,13,93,53,106,22,37,30,59
32,Orelia Nix,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,57,22,40,79,46,33,40,79,38,94,66,132
33,Jasmina Jossel,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,79,53,66,132,26,48,37,74,75,57,66,132
34,Wes Medley,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,14,46,30,60,50,70,60,120,88,89,89,177
35,Elfrieda Cockaday,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,45,66,56,111,61,99,80,160,1,47,24,48
36,Dav Masden,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,72,75,150,66,98,82,164,97,91,94,188
37,Kaela Benoit,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,79,45,62,124,78,65,72,143,77,87,82,164
38,Vail Stovell,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,74,19,47,93,98,40,69,138,66,26,46,92
39,Mischa Clother,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,94,8,51,102,15,59,37,74,22,83,53,105
40,Ewan Slater,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,36,71,54,107,37,35,36,72,73,41,57,114
41,Burton Petrozzi,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,78,72,75,150,18,0,9,18,36,0,18,36
42,Allister Astling,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,34,70,52,104,81,91,86,172,12,66,39,78
43,Mirabella Gallon,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,62,98,80,160,71,96,84,167,23,45,34,68
44,Lucina Kevern,Female,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,29,75,52,104,92,56,74,148,18,45,32,63
45,Claudio St. John,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,20,64,42,84,46,54,50,100,10,95,53,105
46,Conrad Pezey,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,74,46,60,120,82,51,67,133,65,88,77,153
47,Sonny Toner,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,18,12,15,30,41,73,57,114,7,37,22,44
48,Glynn Dales,Male,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,89,88,89,177,34,77,56,111,16,44,30,60
49,Margarete Lush,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,7,79,43,86,52,62,57,114,51,98,75,149
50,Hershel Pawlata,Male,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,55,79,67,134,38,21,30,59,52,73,63,125
51,Binni Hovard,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,73,93,83,166,10,67,39,77,72,70,71,142
52,Irita Lenihan,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,67,37,52,104,17,98,58,115,22,26,24,48
53,Rafaela Pareman,Female,17,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,77,97,87,174,6,5,6,11,24,77,51,101
54,Bevan Adamowitz,Male,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,5,49,27,54,93,85,89,178,76,7,42,83
55,Herve Keedwell,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,35,61,48,96,32,31,32,63,65,77,71,142
56,Dewain Winfrey,Male,19,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,98,13,56,111,50,77,64,127,99,21,60,120
57,Wallie Fincher,Female,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,7,29,18,36,15,15,15,30,69,22,46,91
58,Reginald Tozer,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,3,3,3,6,51,88,70,139,22,19,21,41
59,Serge Shawcross,Male,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,43,53,48,96,80,65,73,145,39,83,61,122
60,Rem Scotti,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,16,10,13,26,58,2,30,60,6,12,9,18
61,Malissa Fairebrother,Female,18,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,70,83,77,153,52,89,71,141,48,92,70,140
62,Fitz Bassingden,Male,15,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,47,9,28,56,76,86,81,162,45,99,72,144
63,Minni Giraudo,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,11,29,20,40,8,84,46,92,37,85,61,122
64,Jeddy Laterza,Male,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,53,64,59,117,45,72,59,117,62,27,45,89
65,Christen Pennycook,Female,14,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,87,62,75,149,35,36,36,71,27,76,52,103
66,Carissa Kerfod,Female,16,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,7,67,37,74,93,42,68,135,62,85,74,147
67,Hanny Attrie,Female,20,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,19,86,53,105,20,87,54,107,2,41,22,43
68,Blakeley Christofle,Female,21,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,22,47,35,69,58,33,46,91,33,19,26,52
69,Claybourne Crippin,Male,22,error: undefined method `first' for nil:NilClass,"[{},{},{},{},{},{},{},{},{}]",error: undefined method `first' for nil:NilClass,25,46,36,71,37,50,44,87,61,26,44,87
